year,week,hour,branch,value
2035,42,122,35,-6860.468006257572
2035,42,123,35,-5343.827930174233
2035,42,124,35,-5999.261299027528
2035,42,125,35,-10000.0
2035,42,126,35,-10000.0
2035,42,127,35,-10000.0
2035,42,128,35,-10000.0
2035,42,129,35,-6732.691950646351
2035,42,130,35,-5946.5187183028065
2035,42,131,35,1196.577955311821
2035,42,132,35,1674.9308356852773
2035,42,133,35,1568.7299957935059
2035,42,134,35,2279.7674405687076
2035,42,135,35,2769.5202949892555
2035,42,136,35,-7981.085745621698
2035,42,137,35,-10000.0
2035,42,138,35,-9732.88437057149
2035,42,139,35,-9872.169817274764
2035,42,140,35,-10000.0
2035,42,141,35,-10000.0
2035,42,142,35,-10000.0
2035,42,143,35,-10000.0
2035,42,144,35,-10000.0
2035,42,145,35,-10000.0
2035,42,146,35,-10000.0
2035,42,147,35,-10000.0
2035,42,148,35,-10000.0
2035,42,149,35,-10000.0
2035,42,150,35,-10000.0
2035,42,151,35,-10000.0
2035,42,152,35,-10000.0
2035,42,153,35,-9050.905030180522
2035,42,154,35,-2707.6105975273003
2035,42,155,35,12.690691247452378
2035,42,156,35,3351.0657594841978
2035,42,157,35,2447.776722318446
2035,42,158,35,1893.149602582047
2035,42,159,35,-3949.7350734896663
2035,42,160,35,-10000.0
2035,42,161,35,-10000.0
2035,42,162,35,-10000.0
2035,42,163,35,-10000.0
2035,42,164,35,-10000.0
2035,42,165,35,-10000.0
2035,42,166,35,-10000.0
2035,42,167,35,-10000.0
2045,21,0,35,-10000.0
2045,21,1,35,-10000.0
2045,21,2,35,-10000.0
2045,21,3,35,-10000.0
2045,21,4,35,-10000.0
2045,21,5,35,-10000.0
2045,21,6,35,-10000.0
2045,21,7,35,-10000.0
2045,21,8,35,-10000.0
2045,21,9,35,-10000.0
2045,21,10,35,-10000.0
2045,21,11,35,-10000.0
2045,21,12,35,-10000.0
2045,21,13,35,-10000.0
2045,21,14,35,-10000.0
2045,21,15,35,-10000.0
2045,21,16,35,-10000.0
2045,21,17,35,-10000.0
2045,21,18,35,-10000.0
2045,21,19,35,-10000.0
2045,21,20,35,-10000.0
2045,21,21,35,-10000.0
2045,21,22,35,-10000.0
2045,21,23,35,-10000.0
2045,21,24,35,-10000.0
2045,21,25,35,-10000.0
2045,21,26,35,-10000.0
2045,21,27,35,-10000.0
2045,21,28,35,-10000.0
2045,21,29,35,-10000.0
2045,21,30,35,-10000.0
2045,21,31,35,-10000.0
2045,21,32,35,-10000.0
2045,21,33,35,-10000.0
2045,21,34,35,-10000.0
2045,21,35,35,-10000.0
2045,21,36,35,-10000.0
2045,21,37,35,-10000.0
2045,21,38,35,-10000.0
