generator,bus,carrier,p_nom,marginal_cost,capital_cost,co2_emissions,color,nice_name
DE1 16 ror,DE1 16,ror,18.957,0.0,299140.22492922965,0.0,#4adbc8,Run of River
DE1 16 solar,DE1 16,solar,3205.579425174719,0.01,35602.07124380445,0.0,#f9d002,Solar
DE1 17 CCGT,DE1 17,CCGT,243.0,39.603091060985804,99027.72929315244,0.2,#b20101,Combined-Cycle Gas
DE1 17 OCGT,DE1 17,OCGT,100.91000000000001,55.93903186724111,45095.4415151225,0.2,#d35050,Open-Cycle Gas
DE1 17 biomass,DE1 17,biomass,477.17130000000003,14.893617021276597,278083.0653560446,0.0,#0c6013,Biomass
DE1 17 coal,DE1 17,coal,759.6760522080556,24.32963090957277,349976.5536298572,0.34,#707070,Coal
DE1 17 onwind,DE1 17,onwind,2990.6344577076698,0.015,96085.8880199663,0.0,#235ebc,Onshore Wind
DE1 17 ror,DE1 17,ror,45.8434,0.0,299140.2249292296,0.0,#4adbc8,Run of River
DE1 17 solar,DE1 17,solar,1664.893536972899,0.01,35602.07124380446,0.0,#f9d002,Solar
DE1 18 CCGT,DE1 18,CCGT,240.0,39.83678745496928,99027.72929315244,0.2,#b20101,Combined-Cycle Gas
DE1 18 OCGT,DE1 18,OCGT,133.45,54.865543030409256,45095.4415151225,0.2,#d35050,Open-Cycle Gas
DE1 18 biomass,DE1 18,biomass,516.82492,14.893617021276603,278083.0653560447,0.0,#0c6013,Biomass
DE1 18 nuclear,DE1 18,nuclear,1410.0,11.378787878787879,706772.616768959,0.0,#ff9000,Nuclear
DE1 18 onwind,DE1 18,onwind,672.3944639309464,0.015,96085.88801996631,0.0,#235ebc,Onshore Wind
DE1 18 ror,DE1 18,ror,762.3918,0.0,299140.2249292296,0.0,#4adbc8,Run of River
DE1 18 solar,DE1 18,solar,4831.011277934327,0.01,35602.07124380445,0.0,#f9d002,Solar
DE1 19 CCGT,DE1 19,CCGT,1170.0,47.48807868034867,99027.72929315244,0.2,#b20101,Combined-Cycle Gas
DE1 19 OCGT,DE1 19,OCGT,415.3,60.32408963389221,45095.4415151225,0.2,#d35050,Open-Cycle Gas
DE1 19 biomass,DE1 19,biomass,426.0089,14.8936170212766,278083.0653560445,0.0,#0c6013,Biomass
DE1 19 coal,DE1 19,coal,645.3558695942221,28.196969696969695,349976.5536298572,0.34,#707070,Coal
DE1 19 offwind-ac,DE1 19,offwind-ac,95.53177440605509,0.015,189449.44694936683,0.0,#6895dd,Offshore Wind (AC)
DE1 19 oil,DE1 19,oil,359.0,136.7280237764288,37870.8074066883,0.26,#262626,Oil
DE1 19 onwind,DE1 19,onwind,3980.896545224887,0.015000000000000005,96085.88801996633,0.0,#235ebc,Onshore Wind
DE1 19 ror,DE1 19,ror,0.255,0.0,299140.2249292296,0.0,#4adbc8,Run of River
DE1 19 solar,DE1 19,solar,2900.087635343272,0.009999999999999998,35602.07124380446,0.0,#f9d002,Solar
DE1 2 CCGT,DE1 2,CCGT,2473.9,40.942147171725864,99027.72929315244,0.2,#b20101,Combined-Cycle Gas
DE1 2 OCGT,DE1 2,OCGT,443.34999999999997,56.14173458982295,45095.441515122504,0.2,#d35050,Open-Cycle Gas
DE1 2 biomass,DE1 2,biomass,503.0715,14.893617021276599,278083.0653560446,0.0,#0c6013,Biomass
DE1 2 coal,DE1 2,coal,773.5051065565033,28.196969696969695,349976.5536298572,0.34,#707070,Coal
DE1 2 oil,DE1 2,oil,93.6,156.06002400960384,37870.8074066883,0.26,#262626,Oil
